sk_date,bk_product,idx_value
20080320,h11001,114.73
20080321,h11001,114.78
20080324,h11001,114.94
20080325,h11001,115.04
20080326,h11001,115.1
20080327,h11001,115.16
20080328,h11001,115.12
20080331,h11001,115.45
20080401,h11001,115.51
20080402,h11001,115.54
20080403,h11001,115.48
20080407,h11001,115.35
20080408,h11001,115.35
20080409,h11001,115.42
20080410,h11001,115.35
20080411,h11001,115.32
20080414,h11001,115.44
20080415,h11001,115.42
20080416,h11001,115.38
20080417,h11001,115.38
20080418,h11001,115.37
20080421,h11001,115.39
20080422,h11001,115.46
20080423,h11001,115.49
20080424,h11001,115.47
20080425,h11001,115.48
20080428,h11001,115.52
20080429,h11001,115.52
20080430,h11001,115.54
20080505,h11001,115.6
20080506,h11001,115.61
20080507,h11001,115.54
20080508,h11001,115.49
20080509,h11001,115.51
20080512,h11001,115.55
20080513,h11001,115.58
20080514,h11001,115.6
20080515,h11001,115.6
20080516,h11001,115.59
20080519,h11001,115.66
20080520,h11001,115.62
20080521,h11001,115.66
20080522,h11001,115.66
20080523,h11001,115.69
20080526,h11001,115.68
20080527,h11001,115.69
20080528,h11001,115.69
20080529,h11001,115.65
20080530,h11001,115.65
20080602,h11001,115.69
20080603,h11001,115.71
20080604,h11001,115.77
20080605,h11001,115.79
20080606,h11001,115.8
20080610,h11001,115.78
20080611,h11001,115.7
20080612,h11001,115.62
20080613,h11001,115.64
20080616,h11001,115.69
20080617,h11001,115.66
20080618,h11001,115.66
20080619,h11001,115.66
20080620,h11001,115.63
20080623,h11001,115.62
20080624,h11001,115.63
20080625,h11001,115.64
20080626,h11001,115.59
20080627,h11001,115.53
20080630,h11001,115.44
20080701,h11001,115.43
20080702,h11001,115.4
20080703,h11001,115.44
20080704,h11001,115.43
20080707,h11001,115.43
20080708,h11001,115.45
20080709,h11001,115.39
20080710,h11001,115.41
20080711,h11001,115.47
20080714,h11001,115.52
20080715,h11001,115.51
20080716,h11001,115.55
20080717,h11001,115.55
20080718,h11001,115.52
20080721,h11001,115.54
20080722,h11001,115.3
20080723,h11001,115.17
20080724,h11001,115.07
20080725,h11001,114.94
20080728,h11001,114.97
20080729,h11001,114.98
20080730,h11001,114.88
20080731,h11001,114.9
20080801,h11001,114.86
20080804,h11001,114.86
20080805,h11001,114.89
20080806,h11001,114.86
20080807,h11001,114.9
20080808,h11001,114.98
20080811,h11001,115.0
20080812,h11001,114.98
20080813,h11001,114.94
20080814,h11001,115.01
20080815,h11001,115.04
20080818,h11001,115.01
20080819,h11001,115.03
20080820,h11001,115.03
20080821,h11001,115.06
20080822,h11001,115.14
20080825,h11001,115.18
20080826,h11001,115.21
20080827,h11001,115.28
20080828,h11001,115.33
20080829,h11001,115.42
20080901,h11001,115.57
20080902,h11001,115.63
20080903,h11001,116.03
20080904,h11001,116.04
20080905,h11001,116.28
20080908,h11001,116.36
20080909,h11001,116.39
20080910,h11001,116.51
20080911,h11001,116.57
20080912,h11001,116.93
20080916,h11001,117.61
20080917,h11001,118.18
20080918,h11001,120.05
20080919,h11001,120.05
20080922,h11001,120.08
20080923,h11001,120.04
20080924,h11001,120.17
20080925,h11001,120.07
20080926,h11001,120.18
20081006,h11001,120.59
20081007,h11001,120.73
20081008,h11001,121.26
20081009,h11001,122.04
20081010,h11001,123.51
20081013,h11001,124.45
20081014,h11001,124.5
20081015,h11001,124.58
20081016,h11001,124.66
20081017,h11001,124.65
20081020,h11001,124.66
20081021,h11001,124.77
20081022,h11001,124.84
20081023,h11001,124.4
20081024,h11001,124.32
20081027,h11001,124.25
20081028,h11001,124.34
20081029,h11001,124.5
20081030,h11001,125.0
20081031,h11001,125.12
20081103,h11001,125.27
20081104,h11001,125.31
20081105,h11001,125.4
20081106,h11001,125.6
20081107,h11001,125.97
20081110,h11001,126.21
20081111,h11001,126.35
20081112,h11001,126.79
20081113,h11001,126.96
20081114,h11001,127.23
20081117,h11001,127.21
20081118,h11001,127.15
20081119,h11001,127.14
20081120,h11001,126.64
20081121,h11001,126.64
20081124,h11001,126.65
20081125,h11001,126.62
20081126,h11001,125.96
20081127,h11001,126.76
20081128,h11001,126.77
20081201,h11001,126.86
20081202,h11001,126.82
20081203,h11001,127.07
20081204,h11001,126.96
20081205,h11001,127.53
20081208,h11001,127.68
20081209,h11001,127.7
20081210,h11001,127.38
20081211,h11001,127.26
20081212,h11001,127.84
20081215,h11001,128.13
20081216,h11001,128.03
20081217,h11001,128.74
20081218,h11001,128.74
20081219,h11001,129.04
20081222,h11001,129.12
20081223,h11001,129.24
20081224,h11001,129.18
20081225,h11001,128.64
20081226,h11001,129.35
20081229,h11001,129.88
20081230,h11001,129.29
20081231,h11001,129.6
20090105,h11001,129.42
20090106,h11001,129.47
20090107,h11001,129.47
20090108,h11001,129.71
20090109,h11001,129.89
20090112,h11001,129.92
20090113,h11001,129.8
20090114,h11001,129.78
20090115,h11001,129.47
20090116,h11001,128.9
20090119,h11001,128.93
20090120,h11001,128.43
20090121,h11001,127.81
20090122,h11001,127.91
20090123,h11001,128.13
20090202,h11001,128.2
20090203,h11001,127.97
20090204,h11001,127.58
20090205,h11001,126.89
20090206,h11001,127.0
