sk_date,bk_product,idx_value
20060303,CCFI,1105.7123
20060303,h11001,113.26
20060306,000300,1038.873
20060306,000852,915.66
20060306,000905,952.351
20060306,000906,1007.153
20060306,CCFI,1104.9347
20060306,h11001,113.29
20060307,000300,1014.973
20060307,000852,889.002
20060307,000905,928.576
20060307,000906,983.558
20060307,CCFI,1092.8793
20060307,h11001,113.29
20060308,000300,1009.271
20060308,000852,889.969
20060308,000905,924.83
20060308,000906,978.409
20060308,CCFI,1085.0695
20060308,h11001,113.35
20060309,000300,1004.344
20060309,000852,884.028
20060309,000905,920.13
20060309,000906,973.637
20060309,CCFI,1089.6744
20060309,h11001,113.44
20060310,000300,1008.897
20060310,000852,885.414
20060310,000905,921.683
20060310,000906,977.345
20060310,CCFI,1077.1131
20060310,h11001,113.49
20060313,000300,1019.864
20060313,000852,892.683
20060313,000905,928.518
20060313,000906,987.059
20060313,CCFI,1088.6404
20060313,h11001,113.51
20060314,000300,1018.272
20060314,000852,895.795
20060314,000905,931.721
20060314,000906,986.835
20060314,CCFI,1093.0075
20060314,h11001,113.52
20060315,000300,1028.958
20060315,000852,902.735
20060315,000905,942.689
20060315,000906,997.459
20060315,CCFI,1093.7996
20060315,h11001,113.5
20060316,000300,1027.616
20060316,000852,903.933
20060316,000905,945.523
20060316,000906,997.253
20060316,CCFI,1090.0802
20060316,h11001,113.5
20060317,000300,1024.015
20060317,000852,899.39
20060317,000905,943.725
20060317,000906,994.248
20060317,CCFI,1106.7623
20060317,h11001,113.52
20060320,000300,1037.659
20060320,000852,908.357
20060320,000905,956.138
20060320,000906,1007.405
20060320,CCFI,1136.0965
20060320,h11001,113.58
20060321,000300,1040.757
20060321,000852,911.14
20060321,000905,959.927
20060321,000906,1010.66
20060321,CCFI,1135.4554
20060321,h11001,113.51
20060322,000300,1047.666
20060322,000852,920.301
20060322,000905,972.137
20060322,000906,1018.938
20060322,CCFI,1126.8914
20060322,h11001,113.39
20060323,000300,1048.537
20060323,000852,931.18
20060323,000905,980.841
20060323,000906,1022.035
20060323,CCFI,1135.6495
20060323,h11001,113.36
20060324,000300,1042.601
20060324,000852,921.306
20060324,000905,974.269
20060324,000906,1015.986
20060324,CCFI,1143.1873
20060324,h11001,113.27
20060327,000300,1050.707
20060327,000852,931.033
20060327,000905,984.152
20060327,000906,1024.472
20060327,CCFI,1147.6032
20060327,h11001,113.26
20060328,000300,1055.982
20060328,000852,933.304
20060328,000905,994.52
20060328,000906,1031.066
20060328,CCFI,1149.5178
20060328,h11001,113.32
20060329,000300,1065.294
20060329,000852,931.044
20060329,000905,997.704
20060329,000906,1038.537
20060329,CCFI,1140.9956
20060329,h11001,113.32
20060330,000300,1055.634
20060330,000852,923.95
20060330,000905,986.957
20060330,000906,1028.646
20060330,CCFI,1153.1471
20060330,h11001,113.38
20060331,000300,1061.088
20060331,000852,923.189
20060331,000905,1000.251
20060331,000906,1036.086
20060331,CCFI,1174.1484
20060331,h11001,113.37
20060403,000300,1079.322
20060403,000852,936.343
20060403,000905,1025.788
20060403,000906,1056.204
20060403,CCFI,1167.8637
20060403,h11001,113.38
20060404,000300,1089.371
20060404,000852,947.245
20060404,000905,1038.109
20060404,000906,1066.806
20060404,CCFI,1198.0425
20060404,h11001,113.26
20060405,000300,1099.97
20060405,000852,954.995
20060405,000905,1048.666
20060405,000906,1077.312
20060405,CCFI,1200.1817
20060405,h11001,113.08
20060406,000300,1103.237
20060406,000852,952.323
20060406,000905,1053.693
20060406,000906,1081.04
20060406,CCFI,1225.7475
20060406,h11001,113.16
20060407,000300,1103.154
20060407,000852,961.437
20060407,000905,1068.11
20060407,000906,1084.965
20060407,CCFI,1235.6485
20060407,h11001,113.22
20060410,000300,1117.91
20060410,000852,980.272
20060410,000905,1090.72
20060410,000906,1101.778
